Title,Description,Status,Priority,Assignee,Labels
"Setup Web App","Setup Next.js 14, Tailwind, shadcn/ui and basic project structure","Todo","High","Frontend","web, foundation"
"Setup Supabase Auth (Web)","Create Supabase client and route protection middleware","Todo","High","Frontend","web, auth"
"Login & Signup Page","Implement auth UI with Supabase","Todo","High","Frontend","web, auth"
"API Clients & Mock Data","Implement API connection methods with mock fallback","Todo","High","Frontend","web, api"
"Onboarding Flow (PHQ-9/GAD-7)","Implement survey forms for initial onboarding","Todo","High","Frontend","web, UI"
"Dashboard UI","Implement dashboard showing metrics, charts and insights","Todo","High","Frontend","web, UI"
"Chat UI","Implement chat interface to communicate with Agent","Todo","High","Frontend","web, UI"
"Habits UI","Implement habits list, creation and completion animations","Todo","High","Frontend","web, UI"
"Profile & Weekly Report UI","Implement profile settings and weekly report view","Todo","Medium","Frontend","web, UI"
"[US-FE-001] Dashboard con gráfico semanal","Añadir gráficos semanales al dashboard","Todo","High","Frontend","web, feature"
"[US-FE-002] Mejoras UX del chat","Mejorar experiencia de usuario en el chat","Todo","High","Frontend","web, feature"
"[US-FE-003] Completado de hábito con feedback","Añadir feedback visual al completar hábitos","Todo","Medium","Frontend","web, feature"
"[US-FE-004] Vista del reporte semanal","Visualización del reporte semanal generado","Todo","Medium","Frontend","web, feature"
"Setup API Service","Setup FastAPI project, config and requirements","Todo","High","API & Connections","api, foundation"
"API Auth Middleware","Implement Supabase JWT validation middleware in API","Todo","High","API & Connections","api, auth"
"Endpoint: Event Ingestion","Implement POST /api/v1/events/batch","Todo","High","API & Connections","api, endpoints"
"Endpoint: Surveys","Implement POST /api/v1/surveys/{type}","Todo","High","API & Connections","api, endpoints"
"Endpoint: Dashboard","Implement GET /api/v1/dashboard","Todo","High","API & Connections","api, endpoints"
"Endpoint: Habits","Implement GET/POST /api/v1/habits and complete actions","Todo","High","API & Connections","api, endpoints"
"Setup Extension","Manifest V3, Webpack, TS config","Todo","High","API & Connections","extension, foundation"
"Extension: Storage Buffer","Local storage buffer and auth token sync","Todo","High","API & Connections","extension"
"Extension: Tab Tracker","Background script to track domain usage","Todo","High","API & Connections","extension"
"Extension: Sync Service","Periodic sync to API service","Todo","High","API & Connections","extension"
"Extension: Scroll Detector","Content script to measure scroll speed","Todo","High","API & Connections","extension"
"Extension: Popup UI","React popup with daily stats and manual sync button","Todo","High","API & Connections","extension, UI"
"[US-API-001] Endpoint de uso semanal","Crear endpoint para datos semanales","Todo","High","API & Connections","api, feature"
"[US-API-002] Retry con backoff en extensión","Añadir retry lógico en envíos al API","Todo","High","API & Connections","extension, feature"
"[US-API-003] Rate limiting en el agente","Proteger endpoint del agente contra abusos","Todo","Medium","API & Connections","api, security"
"Setup Supabase Project","Crear proyecto, obtener keys y vars de entorno","Todo","High","Backend 2 (Data)","db, setup"
"Initial DB Schema","Ejecutar migraciones SQL para tablas y pgvector","Todo","High","Backend 2 (Data)","db, schema"
"Seed Demo Data","Cargar datos de prueba y usuario demo en base de datos","Todo","High","Backend 2 (Data)","db, data"
"[US-DATA-001] Streaks con grace days","Implementar motor de rachas y días de gracia","Todo","High","Backend 2 (Data)","db, logic"
"[US-DATA-002] Índices de performance","Agregar índices SQL para mejorar el rendimiento","Todo","Medium","Backend 2 (Data)","db, performance"
"[US-DATA-003] Tabla de notificaciones","Esquema y lógica para notificaciones","Todo","Low","Backend 2 (Data)","db, feature"
"Setup Agent Service","FastAPI setup, auth and config for Agent","Todo","High","AI Engineer","agent, foundation"
"Playbooks Markdown","Escribir los playbooks procesados basados en evidencia para RAG","Todo","High","AI Engineer","agent, rag"
"Embed Playbooks","Script para generar embeddings e insertar playbooks en pgvector","Todo","High","AI Engineer","agent, rag"
"RAG: Embedder & Retriever","Implementar búsqueda de similitud coseno con sentence-transformers","Todo","High","AI Engineer","agent, rag"
"Agent Tools","Desarrollar tools: get_usage_summary, get_survey_scores, get_ml_scores, search_playbooks","Todo","High","AI Engineer","agent, tools"
"Triage Tree","Implementar árbol de decisiones explícito de bienestar","Todo","High","AI Engineer","agent, logic"
"[US-AI-001] Triage con contexto temporal","Mejorar el triaje usando datos históricos y contexto temporal","Todo","High","AI Engineer","agent, feature"
"[US-AI-002] Hábito sugerido en respuesta","Agente debe recomendar hábitos accionables en el chat","Todo","High","AI Engineer","agent, feature"
"[US-AI-003] Reporte semanal generado por el agente","Agente crea reporte narrado semanal con métricas","Todo","Medium","AI Engineer","agent, feature"
"[US-AI-004] Protocolo de crisis no bypasseable","Implementar derivación segura a línea 106 en caso de riesgo (PHQ-9/GAD-7 altos)","Todo","Urgent","AI Engineer","agent, safety"
"Setup ML Environment","Descargar datasets (StudentLife, etc) o implementar generador sintético","Todo","High","Backend 1 (ML)","ml, data"
"Bootstrap Models Script","Crear pipeline de entrenamiento base y exportar artefactos a joblib","Todo","High","Backend 1 (ML)","ml, pipeline"
"[US-ML-001] Pipeline Isolation Forest","Implementar detección de anomalías para días atípicos","Todo","High","Backend 1 (ML)","ml, model"
"[US-ML-002] XGBoost predictor de ánimo","Entrenar modelo predictor de ánimo en base a usage features","Todo","Medium","Backend 1 (ML)","ml, model"
