user_id,date,features
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-24,"{""morning_mood"": 3.6, ""sleep_hours"": 8.1, ""sleep_quality"": ""normal"", ""physical_energy"": 3.9, ""screen_hours"": 1.6, ""focus_sessions"": 2, ""hours_since_meal"": 1.9, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.17, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-25,"{""morning_mood"": 4.0, ""sleep_hours"": 6.8, ""sleep_quality"": ""normal"", ""physical_energy"": 3.6, ""screen_hours"": 3.0, ""focus_sessions"": 0, ""hours_since_meal"": 3.8, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.44, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-26,"{""morning_mood"": 3.8, ""sleep_hours"": 5.4, ""sleep_quality"": ""interrupted"", ""physical_energy"": 2.3, ""screen_hours"": 2.1, ""focus_sessions"": 0, ""hours_since_meal"": 5.3, ""had_breakfast"": false, ""has_event_today"": false, ""nocturnal_ratio"": 0.59, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-27,"{""morning_mood"": 3.8, ""sleep_hours"": 8.6, ""sleep_quality"": ""interrupted"", ""physical_energy"": 4.4, ""screen_hours"": 1.3, ""focus_sessions"": 0, ""hours_since_meal"": 3.1, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.31, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-28,"{""morning_mood"": 4.0, ""sleep_hours"": 7.3, ""sleep_quality"": ""light"", ""physical_energy"": 5.0, ""screen_hours"": 3.4, ""focus_sessions"": 1, ""hours_since_meal"": 2.4, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.57, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-29,"{""morning_mood"": 4.0, ""sleep_hours"": 7.9, ""sleep_quality"": ""deep"", ""physical_energy"": 3.9, ""screen_hours"": 2.5, ""focus_sessions"": 0, ""hours_since_meal"": 4.2, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.27, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-04-30,"{""morning_mood"": 4.1, ""sleep_hours"": 7.1, ""sleep_quality"": ""light"", ""physical_energy"": 3.3, ""screen_hours"": 3.3, ""focus_sessions"": 1, ""hours_since_meal"": 1.7, ""had_breakfast"": false, ""has_event_today"": false, ""nocturnal_ratio"": 0.44, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-01,"{""morning_mood"": 4.4, ""sleep_hours"": 6.4, ""sleep_quality"": ""interrupted"", ""physical_energy"": 3.0, ""screen_hours"": 3.9, ""focus_sessions"": 3, ""hours_since_meal"": 3.0, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.25, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-02,"{""morning_mood"": 4.6, ""sleep_hours"": 5.7, ""sleep_quality"": ""light"", ""physical_energy"": 2.9, ""screen_hours"": 2.5, ""focus_sessions"": 1, ""hours_since_meal"": 5.9, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.2, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-03,"{""morning_mood"": 5.0, ""sleep_hours"": 6.2, ""sleep_quality"": ""light"", ""physical_energy"": 3.7, ""screen_hours"": 2.3, ""focus_sessions"": 1, ""hours_since_meal"": 6.0, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.32, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-04,"{""morning_mood"": 5.0, ""sleep_hours"": 8.1, ""sleep_quality"": ""light"", ""physical_energy"": 3.7, ""screen_hours"": 1.9, ""focus_sessions"": 0, ""hours_since_meal"": 5.1, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.12, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-05,"{""morning_mood"": 4.7, ""sleep_hours"": 7.0, ""sleep_quality"": ""deep"", ""physical_energy"": 3.6, ""screen_hours"": 2.6, ""focus_sessions"": 0, ""hours_since_meal"": 3.6, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.47, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-06,"{""morning_mood"": 4.2, ""sleep_hours"": 7.0, ""sleep_quality"": ""interrupted"", ""physical_energy"": 3.6, ""screen_hours"": 1.7, ""focus_sessions"": 0, ""hours_since_meal"": 5.9, ""had_breakfast"": false, ""has_event_today"": true, ""nocturnal_ratio"": 0.33, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-07,"{""morning_mood"": 3.7, ""sleep_hours"": 8.0, ""sleep_quality"": ""interrupted"", ""physical_energy"": 3.7, ""screen_hours"": 2.7, ""focus_sessions"": 2, ""hours_since_meal"": 4.2, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.4, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-08,"{""morning_mood"": 3.8, ""sleep_hours"": 6.9, ""sleep_quality"": ""deep"", ""physical_energy"": 4.0, ""screen_hours"": 1.4, ""focus_sessions"": 0, ""hours_since_meal"": 4.4, ""had_breakfast"": true, ""has_event_today"": false, ""nocturnal_ratio"": 0.35, ""stress_level"": ""low""}"
880d6cfd-4a91-4406-a732-a313fa603150,2026-05-09,"{""morning_mood"": 3.9, ""sleep_hours"": 7.9, ""sleep_quality"": ""normal"", ""physical_energy"": 2.8, ""screen_hours"": 2.3, ""focus_sessions"": 1, ""hours_since_meal"": 3.0, ""had_breakfast"": true, ""has_event_today"": true, ""nocturnal_ratio"": 0.54, ""stress_level"": ""low""}"
